"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","HAVESOLAR","WINTER_NOPV_BINNED","SUMMER_NOPV_BINNED","PN1","PN2","PN3","E2","BB1","BB2","BB3","BTE8","BE13","BE10","Co3","VB1","VB2","VB3","VA1","VA2","VA3","VT1","VT2","VT3","VE1","VE2","VE4","VO1","VO2","VO3","CIJM1","CIJM2","CIJM3","CNS1","CNS2","CNS4","SQFT_BINNED","STANCE","PEOPLE_TOT_3PLUS","HAVE_KIDS","GENDER","AGE_BINNED","EDUC_BINNED","FINANCIAL","INCOME_BINNED","RETIRED"
"85",85,1,1,1,1,0,4,9,3,3,3,3,3,3,3,3,2,3,3,4,4,3,5,4,4,5,5,4,3,4,4,5,5,5,3,3,3,4,4,4,4,3,0,0,1,4,3,1,4,1
"86",86,1,1,1,1,0,5,5,2,2,1,1,2,1,3,3,3,3,2,2,2,2,3,2,2,3,4,3,3,2,2,3,4,4,3,3,3,2,2,2,2,4,1,0,0,3,1,1,3,1
"87",87,1,1,2,1,0,6,5,3,3,4,3,3,2,4,3,3,3,4,3,2,2,4,3,4,4,4,3,2,3,2,2,3,3,3,4,4,3,3,3,1,5,1,0,0,4,2,3,2,1
"88",88,1,1,4,1,0,8,8,4,5,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,5,4,3,4,3,5,5,4,5,4,4,4,4,4,2,1,0,0,0,2,2,1,4,0
"89",89,1,1,4,1,0,2,2,3,3,3,3,4,98,4,4,3,4,2,3,3,3,4,2,4,5,5,3,3,2,1,2,3,2,3,4,4,2,2,2,1,3,1,0,1,2,1,2,1,0
"90",90,1,1,2,1,0,4,7,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,5,5,5,5,1,5,1,5,3,4,2,2,2,4,3,3,3,3,1,0,0,4,2,2,95,1
"91",91,1,1,1,1,0,6,8,2,3,4,3,2,2,3,3,2,3,3,3,3,1,5,1,1,5,5,3,3,3,4,3,3,1,3,3,3,2,2,2,4,90,0,0,1,3,4,1,95,0
"92",92,1,1,3,1,0,4,10,3,3,4,4,98,98,4,4,98,4,98,3,2,2,4,4,3,4,4,3,3,3,3,1,2,1,4,5,3,2,2,2,4,3,1,0,0,4,3,1,95,1
"93",93,1,1,1,1,0,6,9,4,4,4,5,4,4,4,4,3,3,3,4,3,3,5,2,2,3,5,3,3,2,4,2,2,2,3,4,3,2,2,4,4,4,0,0,0,4,3,1,5,1
"94",94,1,1,4,1,0,6,5,3,4,4,3,4,4,4,4,4,4,4,5,5,3,4,3,4,5,5,5,3,3,2,5,4,5,5,5,4,5,4,4,1,3,0,0,1,3,1,3,1,0
"95",95,1,1,1,1,0,5,6,1,1,4,2,2,1,3,4,2,2,2,3,3,2,5,4,4,4,5,4,1,1,1,1,1,1,3,3,3,2,2,2,1,5,1,1,1,1,1,3,1,0
"96",96,1,1,4,1,0,5,11,3,3,4,3,3,3,3,4,3,4,4,3,3,3,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,0,0,2,2,3,3,0
"97",97,1,1,2,1,0,4,5,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,2,2,2,3,4,3,3,2,2,3,2,3,3,1,2,1,1,0,1,2,2,4,0
"98",98,1,1,2,1,0,7,9,4,4,4,3,4,3,4,3,3,3,4,5,5,5,5,4,4,5,5,5,4,4,4,5,4,5,4,4,4,3,3,3,3,97,1,1,1,2,4,1,5,0
"99",99,1,1,1,1,0,2,8,4,3,4,3,4,3,4,4,4,4,4,5,5,4,5,3,5,5,5,4,3,3,3,3,4,4,4,4,4,4,3,4,3,97,1,1,0,3,4,2,3,0
"100",100,1,1,3,1,0,NA,NA,2,3,4,4,4,4,4,4,4,4,3,3,4,2,2,3,4,5,5,5,4,4,3,2,5,3,4,5,3,3,3,3,2,2,1,1,0,1,1,3,1,0
